incident_id,date,city,area_type,drug_type,crime_type,quantity_seized_g,offender_age,offender_gender,prior_offenses,repeat_offender,arrest_made,risk_level
DC03362,2022-08-02,Delhi,Urban Residential,Methamphetamine,Possession,26.92,32,Female,0,0,1,Low
DC00666,2022-08-02,Mumbai,Commercial Zone,Cocaine,Public Consumption,11.8,34,Male,0,0,1,Low
DC01515,2022-08-02,Mumbai,Commercial Zone,Prescription Drugs,Trafficking,72.92,50,Male,2,1,1,High
DC01706,2022-08-02,Mumbai,Commercial Zone,Cannabis,Possession,8.21,36,Male,2,1,0,Low
DC01654,2022-08-02,Delhi,Rural/Outskirts,Cannabis,Distribution,14.59,45,Female,3,1,1,Medium
DC02505,2022-08-02,Mumbai,Urban Residential,MDMA,Possession,7.09,27,Male,2,1,0,Low
DC00058,2022-08-02,Mumbai,Urban Residential,MDMA,Distribution,3.0,14,Male,1,0,1,Low
DC04943,2022-08-03,Ahmedabad,Nightlife District,Cocaine,Possession,30.6,37,Male,2,1,0,Low
DC01422,2022-08-03,Bengaluru,Educational Zone,Cocaine,Public Consumption,11.94,31,Male,1,0,1,Low
DC00324,2022-08-03,Delhi,Urban Residential,Other Synthetic,Distribution,2.96,31,Female,1,0,1,Low
DC00367,2022-08-03,Lucknow,Urban Residential,Cannabis,Possession,25.98,34,Male,3,1,0,Low
DC01488,2022-08-04,Kolkata,Urban Residential,Heroin,Distribution,2.43,42,Male,2,1,1,Medium
DC02327,2022-08-04,Ahmedabad,Urban Residential,MDMA,Possession,0.99,19,Male,1,0,0,Low
DC03469,2022-08-04,Ahmedabad,Nightlife District,Prescription Drugs,Possession,6.38,47,Male,3,1,0,Low
DC00959,2022-08-04,Mumbai,Educational Zone,Cocaine,Possession,54.24,24,Male,1,0,0,Low
DC00099,2022-08-04,Chennai,Commercial Zone,Heroin,Public Consumption,35.71,22,Male,1,0,0,Low
DC01930,2022-08-05,Chennai,Educational Zone,Prescription Drugs,Public Consumption,33.72,28,Male,1,0,1,Low
DC04582,2022-08-05,Delhi,Commercial Zone,Prescription Drugs,Public Consumption,41.87,29,Female,0,0,1,Low
DC00628,2022-08-05,Pune,Commercial Zone,Other Synthetic,Possession,1.13,24,Male,1,0,0,Low
DC04026,2022-08-05,Ahmedabad,Nightlife District,Cocaine,Possession,6.09,33,Female,1,0,0,Low
DC01935,2022-08-06,Kolkata,Educational Zone,MDMA,Possession,13.33,17,Male,1,0,0,Low
DC03072,2022-08-06,Hyderabad,Nightlife District,Methamphetamine,Public Consumption,14.91,31,Female,0,0,1,Low
DC04763,2022-08-06,Pune,Nightlife District,Methamphetamine,Distribution,31.28,25,Male,1,0,1,Medium
DC00886,2022-08-06,Mumbai,Nightlife District,Cocaine,Possession,1.64,37,Male,0,0,1,Low
DC00475,2022-08-07,Hyderabad,Urban Residential,Cannabis,Distribution,62.01,14,Male,2,1,1,Medium
DC02130,2022-08-07,Bengaluru,Nightlife District,Heroin,Distribution,2.49,36,Female,1,0,0,Low
DC00261,2022-08-07,Kolkata,Urban Residential,Cannabis,Distribution,1.23,27,Female,2,1,0,Medium
DC01438,2022-08-08,Kolkata,Commercial Zone,Cannabis,Possession,49.01,25,Female,1,0,0,Low
DC00468,2022-08-09,Jaipur,Rural/Outskirts,MDMA,Possession,9.65,30,Female,1,0,0,Low
DC04856,2022-08-09,Mumbai,Nightlife District,MDMA,Possession,5.34,43,Female,3,1,0,Low
DC04262,2022-08-09,Jaipur,Industrial Area,Cannabis,Possession,44.93,44,Male,1,0,1,Low
DC04293,2022-08-09,Hyderabad,Commercial Zone,Cannabis,Possession,5.28,34,Male,1,0,1,Low
DC02089,2022-08-09,Ahmedabad,Urban Residential,Cannabis,Possession,187.8,30,Male,2,1,1,Medium
DC00313,2022-08-09,Chennai,Rural/Outskirts,Cannabis,Possession,12.87,33,Male,1,0,0,Low
DC01718,2022-08-10,Kolkata,Industrial Area,Methamphetamine,Possession,19.42,19,Male,0,0,0,Low
DC01568,2022-08-10,Chennai,Urban Residential,MDMA,Possession,4.66,32,Male,0,0,1,Low
DC02749,2022-08-11,Ahmedabad,Nightlife District,Heroin,Distribution,3.3,20,Male,1,0,1,Low
DC03925,2022-08-11,Lucknow,Rural/Outskirts,Cannabis,Possession,46.66,27,Male,1,0,1,Low
DC03879,2022-08-11,Hyderabad,Commercial Zone,Cannabis,Public Consumption,3.28,25,Male,2,1,1,Low
DC01990,2022-08-11,Pune,Commercial Zone,Prescription Drugs,Public Consumption,47.63,42,Female,2,1,1,Medium
DC02061,2022-08-12,Chennai,Commercial Zone,Cannabis,Distribution,142.39,26,Male,2,1,0,High
DC00816,2022-08-12,Bengaluru,Urban Residential,Cocaine,Possession,1.88,26,Male,1,0,0,Low
DC02551,2022-08-13,Delhi,Urban Residential,Cocaine,Possession,34.56,55,Female,1,0,1,Low
DC00954,2022-08-13,Jaipur,Industrial Area,MDMA,Possession,14.02,21,Male,0,0,1,Low
DC04025,2022-08-13,Kolkata,Industrial Area,MDMA,Distribution,2.43,21,Male,3,1,0,Medium
DC02184,2022-08-13,Delhi,Nightlife District,Other Synthetic,Possession,24.14,31,Female,0,0,0,Low
DC00789,2022-08-13,Bengaluru,Educational Zone,MDMA,Possession,8.0,15,Male,1,0,0,Low
DC01847,2022-08-13,Mumbai,Industrial Area,Prescription Drugs,Public Consumption,10.62,21,Male,1,0,1,Low
DC02068,2022-08-14,Delhi,Nightlife District,Methamphetamine,Possession,0.5,27,Male,0,0,1,Low
DC01328,2022-08-14,Pune,Nightlife District,Methamphetamine,Public Consumption,5.6,25,Male,2,1,1,Low
DC03284,2022-08-14,Jaipur,Educational Zone,Heroin,Public Consumption,24.27,30,Female,1,0,1,Low
DC01705,2022-08-14,Bengaluru,Industrial Area,Cannabis,Possession,115.1,41,Male,0,0,1,Low
DC03772,2022-08-14,Jaipur,Industrial Area,Cannabis,Possession,12.33,20,Male,2,1,1,Low
DC00334,2022-08-14,Mumbai,Nightlife District,Cocaine,Distribution,12.42,35,Male,2,1,1,Medium
DC01597,2022-08-14,Delhi,Commercial Zone,Prescription Drugs,Possession,37.17,49,Male,1,0,1,Low
DC01626,2022-08-15,Kolkata,Nightlife District,Methamphetamine,Possession,13.48,23,Male,1,0,0,Low
DC04827,2022-08-15,Kolkata,Urban Residential,MDMA,Possession,7.65,15,Male,1,0,1,Low
DC00722,2022-08-15,Mumbai,Commercial Zone,Cannabis,Distribution,1.61,36,Male,1,0,0,Low
DC04432,2022-08-16,Hyderabad,Nightlife District,Prescription Drugs,Possession,6.94,34,Male,2,1,1,Low
DC03982,2022-08-16,Ahmedabad,Rural/Outskirts,Cannabis,Public Consumption,26.23,25,Male,1,0,1,Low
DC02753,2022-08-16,Delhi,Rural/Outskirts,Heroin,Possession,1.93,46,Male,3,1,1,Low
DC01579,2022-08-16,Hyderabad,Industrial Area,Cannabis,Distribution,34.51,26,Male,2,1,1,Medium
DC02274,2022-08-16,Kolkata,Industrial Area,MDMA,Possession,4.29,14,Male,1,0,1,Low
DC02134,2022-08-16,Hyderabad,Industrial Area,Methamphetamine,Distribution,23.18,36,Male,0,0,0,Low
DC02220,2022-08-17,Mumbai,Commercial Zone,Cannabis,Distribution,36.6,16,Male,1,0,0,Medium
DC02196,2022-08-17,Bengaluru,Urban Residential,Cannabis,Possession,77.52,43,Male,3,1,1,Medium
DC02939,2022-08-17,Lucknow,Nightlife District,Heroin,Possession,19.1,28,Male,1,0,1,Low
DC00155,2022-08-17,Lucknow,Urban Residential,Cannabis,Trafficking,50.83,21,Male,4,1,1,High
DC01268,2022-08-17,Bengaluru,Nightlife District,Cannabis,Trafficking,64.64,22,Male,1,0,1,Medium
DC01733,2022-08-17,Hyderabad,Industrial Area,Heroin,Possession,11.33,23,Male,1,0,0,Low
DC04357,2022-08-17,Mumbai,Urban Residential,Cannabis,Distribution,93.29,36,Female,2,1,0,Medium
DC03348,2022-08-18,Mumbai,Urban Residential,Cannabis,Possession,69.71,35,Male,3,1,1,Medium
DC00869,2022-08-18,Ahmedabad,Commercial Zone,Heroin,Possession,11.24,20,Male,0,0,0,Low
DC02069,2022-08-18,Mumbai,Educational Zone,Prescription Drugs,Public Consumption,17.75,34,Male,2,1,1,Low
DC01417,2022-08-19,Chennai,Commercial Zone,Cocaine,Possession,23.59,30,Female,0,0,1,Low
DC00440,2022-08-19,Chennai,Urban Residential,Prescription Drugs,Public Consumption,8.55,33,Female,1,0,0,Low
DC04949,2022-08-19,Ahmedabad,Industrial Area,Cocaine,Possession,17.62,21,Male,0,0,1,Low
DC01966,2022-08-19,Hyderabad,Urban Residential,Prescription Drugs,Possession,41.99,27,Male,2,1,1,Low
DC04963,2022-08-20,Delhi,Rural/Outskirts,Other Synthetic,Possession,18.8,50,Male,0,0,1,Low
DC00143,2022-08-20,Bengaluru,Industrial Area,Prescription Drugs,Possession,18.81,28,Male,3,1,1,Low
DC01971,2022-08-20,Chennai,Nightlife District,Methamphetamine,Possession,11.79,26,Male,0,0,1,Low
DC01612,2022-08-20,Kolkata,Commercial Zone,Cannabis,Possession,38.29,33,Male,0,0,1,Low
DC03487,2022-08-20,Delhi,Educational Zone,Cocaine,Distribution,31.19,34,Male,1,0,1,Medium
DC04074,2022-08-21,Hyderabad,Nightlife District,Prescription Drugs,Possession,12.11,31,Male,0,0,1,Low
DC01320,2022-08-21,Chennai,Urban Residential,Cocaine,Possession,21.72,15,Male,3,1,1,Low
DC01973,2022-08-21,Delhi,Urban Residential,MDMA,Possession,7.4,29,Female,2,1,1,Low
DC01923,2022-08-21,Kolkata,Educational Zone,Cannabis,Possession,61.61,16,Male,0,0,1,Low
DC01172,2022-08-22,Lucknow,Rural/Outskirts,Methamphetamine,Public Consumption,6.9,27,Male,0,0,1,Low
DC04920,2022-08-22,Delhi,Nightlife District,Other Synthetic,Possession,3.08,33,Female,2,1,1,Low
DC01815,2022-08-22,Chennai,Rural/Outskirts,Other Synthetic,Possession,1.0,41,Male,2,1,1,Low
DC02179,2022-08-22,Kolkata,Urban Residential,Prescription Drugs,Public Consumption,1.63,32,Male,1,0,1,Low
DC04081,2022-08-22,Kolkata,Commercial Zone,Cocaine,Trafficking,51.33,31,Male,4,1,0,High
DC04790,2022-08-23,Delhi,Rural/Outskirts,Cocaine,Public Consumption,36.84,32,Male,3,1,1,Medium
DC04178,2022-08-23,Ahmedabad,Nightlife District,Methamphetamine,Distribution,3.33,32,Male,0,0,1,Low
DC00616,2022-08-23,Jaipur,Urban Residential,Cocaine,Possession,3.55,23,Male,1,0,0,Low
DC04166,2022-08-23,Delhi,Industrial Area,MDMA,Possession,8.55,38,Male,2,1,1,Low
DC01887,2022-08-23,Chennai,Educational Zone,Prescription Drugs,Possession,14.0,25,Male,1,0,0,Low
DC04545,2022-08-23,Delhi,Urban Residential,Other Synthetic,Possession,9.33,36,Female,1,0,0,Low
DC01861,2022-08-23,Pune,Commercial Zone,Cannabis,Possession,1.75,32,Female,3,1,1,Low
DC03464,2022-08-23,Hyderabad,Industrial Area,Prescription Drugs,Possession,11.74,20,Male,2,1,1,Low
DC01167,2022-08-24,Ahmedabad,Urban Residential,Cannabis,Possession,1.27,34,Female,2,1,0,Low
DC00094,2022-08-24,Hyderabad,Urban Residential,Cannabis,Public Consumption,25.47,26,Male,2,1,0,Low
DC02543,2022-08-24,Ahmedabad,Commercial Zone,MDMA,Possession,40.5,35,Female,0,0,0,Low
DC02064,2022-08-24,Bengaluru,Industrial Area,Other Synthetic,Public Consumption,2.49,19,Male,1,0,1,Low
DC01849,2022-08-24,Jaipur,Urban Residential,Heroin,Possession,1.6,26,Male,2,1,1,Low
DC00891,2022-08-24,Pune,Nightlife District,Cocaine,Public Consumption,26.17,30,Male,0,0,1,Low
DC03373,2022-08-25,Delhi,Urban Residential,Other Synthetic,Public Consumption,3.6,34,Male,1,0,0,Low
DC03778,2022-08-25,Hyderabad,Commercial Zone,Cocaine,Possession,16.89,30,Male,2,1,1,Low
DC01600,2022-08-25,Jaipur,Rural/Outskirts,Methamphetamine,Public Consumption,1.78,21,Male,1,0,1,Low
DC00259,2022-08-25,Hyderabad,Nightlife District,Cannabis,Possession,70.14,20,Male,0,0,1,Low
DC00492,2022-08-25,Kolkata,Nightlife District,MDMA,Possession,12.33,31,Male,0,0,0,Low
DC00502,2022-08-25,Hyderabad,Urban Residential,Prescription Drugs,Possession,22.15,26,Male,2,1,0,Low
DC01094,2022-08-26,Bengaluru,Urban Residential,Cannabis,Possession,14.9,14,Male,0,0,0,Low
DC04845,2022-08-26,Mumbai,Rural/Outskirts,Cannabis,Possession,7.64,27,Male,0,0,0,Low
DC02734,2022-08-27,Lucknow,Urban Residential,MDMA,Possession,8.8,22,Male,0,0,1,Low
DC01918,2022-08-27,Hyderabad,Industrial Area,Prescription Drugs,Distribution,73.09,14,Male,0,0,0,Medium
DC02512,2022-08-27,Jaipur,Urban Residential,Cocaine,Possession,3.23,14,Male,2,1,1,Low
DC02491,2022-08-27,Delhi,Nightlife District,Prescription Drugs,Distribution,57.01,31,Female,3,1,1,Medium
DC03297,2022-08-27,Kolkata,Commercial Zone,Heroin,Public Consumption,17.38,44,Male,2,1,1,Low
DC02005,2022-08-28,Delhi,Commercial Zone,Methamphetamine,Distribution,27.73,24,Male,1,0,1,Medium
DC04209,2022-08-28,Chennai,Industrial Area,Cannabis,Distribution,96.15,36,Male,1,0,1,Medium
DC03261,2022-08-28,Mumbai,Commercial Zone,Prescription Drugs,Public Consumption,1.08,14,Female,1,0,1,Low
DC01969,2022-08-28,Delhi,Industrial Area,Cocaine,Possession,32.31,14,Male,2,1,0,Low
DC03517,2022-08-29,Chennai,Rural/Outskirts,Cannabis,Possession,40.53,38,Male,1,0,1,Low
DC03442,2022-08-30,Hyderabad,Urban Residential,Heroin,Possession,2.81,36,Male,0,0,1,Low
DC02106,2022-08-30,Delhi,Nightlife District,Prescription Drugs,Distribution,3.95,40,Female,0,0,1,Low
DC00114,2022-08-30,Ahmedabad,Nightlife District,Prescription Drugs,Public Consumption,29.75,46,Male,1,0,0,Low
DC04830,2022-08-31,Bengaluru,Commercial Zone,Cannabis,Public Consumption,35.26,25,Male,1,0,1,Low
DC01699,2022-08-31,Lucknow,Educational Zone,Methamphetamine,Possession,5.45,36,Female,2,1,1,Low
DC04337,2022-08-31,Hyderabad,Educational Zone,Cannabis,Possession,70.02,29,Male,2,1,1,Medium
DC04160,2022-08-31,Hyderabad,Nightlife District,Cannabis,Distribution,80.86,36,Male,1,0,1,Medium
DC01020,2022-08-31,Chennai,Urban Residential,Methamphetamine,Possession,2.99,20,Male,2,1,0,Low
DC04717,2022-08-31,Hyderabad,Industrial Area,Cannabis,Trafficking,72.6,29,Male,2,1,1,High
DC04119,2022-09-01,Mumbai,Commercial Zone,Cannabis,Trafficking,158.01,36,Female,2,1,1,High
DC03124,2022-09-01,Bengaluru,Rural/Outskirts,Cannabis,Possession,84.25,29,Male,0,0,1,Low
DC03210,2022-09-01,Hyderabad,Commercial Zone,Other Synthetic,Possession,11.05,41,Male,0,0,1,Low
DC01652,2022-09-01,Delhi,Urban Residential,Cocaine,Possession,3.16,37,Female,1,0,1,Low
DC04650,2022-09-01,Mumbai,Commercial Zone,MDMA,Possession,38.81,19,Male,2,1,1,Low
DC02797,2022-09-02,Chennai,Industrial Area,Cannabis,Possession,49.8,17,Male,1,0,1,Low
DC04947,2022-09-02,Kolkata,Industrial Area,Cannabis,Distribution,58.35,47,Male,1,0,1,Medium
DC02872,2022-09-03,Lucknow,Urban Residential,Prescription Drugs,Possession,29.76,33,Male,0,0,1,Low
DC04768,2022-09-04,Chennai,Nightlife District,Other Synthetic,Possession,4.61,20,Male,0,0,1,Low
DC00370,2022-09-04,Chennai,Urban Residential,Heroin,Distribution,0.6,42,Male,2,1,1,Medium
DC03346,2022-09-04,Pune,Commercial Zone,MDMA,Possession,14.38,26,Male,1,0,1,Low
DC03575,2022-09-05,Jaipur,Industrial Area,Cannabis,Possession,59.4,32,Male,2,1,0,Low
DC00926,2022-09-05,Chennai,Industrial Area,Cocaine,Distribution,22.35,32,Male,1,0,1,Medium
DC02852,2022-09-06,Mumbai,Nightlife District,Prescription Drugs,Distribution,25.54,26,Female,0,0,1,Low
DC02334,2022-09-06,Kolkata,Industrial Area,Cannabis,Trafficking,63.81,32,Male,3,1,1,High
DC04544,2022-09-06,Delhi,Rural/Outskirts,MDMA,Possession,19.63,39,Female,1,0,0,Low
DC01796,2022-09-07,Chennai,Nightlife District,MDMA,Distribution,3.81,40,Male,6,1,1,High
DC01322,2022-09-08,Mumbai,Urban Residential,Cocaine,Possession,9.4,15,Male,0,0,1,Low
DC00352,2022-09-08,Ahmedabad,Commercial Zone,Cannabis,Trafficking,63.29,21,Male,2,1,1,High
DC00564,2022-09-09,Chennai,Nightlife District,Prescription Drugs,Possession,25.79,24,Male,1,0,0,Low
DC04479,2022-09-10,Hyderabad,Nightlife District,Cannabis,Public Consumption,29.4,31,Male,2,1,1,Low
DC02745,2022-09-10,Kolkata,Rural/Outskirts,Cannabis,Possession,34.97,18,Male,2,1,1,Low
DC02349,2022-09-10,Hyderabad,Educational Zone,MDMA,Possession,5.23,26,Male,0,0,0,Low
DC01183,2022-09-10,Kolkata,Commercial Zone,Heroin,Possession,22.71,44,Male,3,1,0,Low
DC03050,2022-09-10,Delhi,Urban Residential,Prescription Drugs,Possession,19.39,38,Male,3,1,0,Low
DC00090,2022-09-10,Bengaluru,Industrial Area,Methamphetamine,Possession,6.14,27,Male,2,1,1,Low
DC04419,2022-09-11,Delhi,Urban Residential,Cocaine,Public Consumption,1.24,30,Female,1,0,0,Low
DC03804,2022-09-11,Lucknow,Urban Residential,MDMA,Possession,2.74,22,Male,0,0,1,Low
DC00227,2022-09-11,Lucknow,Rural/Outskirts,Prescription Drugs,Possession,13.81,23,Male,3,1,0,Low
DC02039,2022-09-11,Mumbai,Nightlife District,Cannabis,Possession,112.14,21,Male,1,0,1,Medium
DC00268,2022-09-12,Kolkata,Nightlife District,Prescription Drugs,Public Consumption,2.57,25,Male,1,0,0,Low
DC01153,2022-09-12,Kolkata,Industrial Area,Cannabis,Possession,35.71,37,Male,1,0,1,Low
DC01240,2022-09-12,Mumbai,Urban Residential,Cannabis,Trafficking,72.94,25,Male,4,1,0,High
DC00890,2022-09-12,Mumbai,Commercial Zone,Cannabis,Distribution,54.52,39,Male,3,1,0,Medium
DC00247,2022-09-12,Bengaluru,Commercial Zone,Heroin,Public Consumption,4.64,14,Male,1,0,0,Low
DC04229,2022-09-12,Bengaluru,Nightlife District,Prescription Drugs,Trafficking,74.4,33,Male,2,1,0,High
DC04700,2022-09-12,Lucknow,Commercial Zone,Heroin,Trafficking,68.44,24,Male,2,1,1,High
DC04624,2022-09-13,Kolkata,Urban Residential,Cannabis,Public Consumption,17.04,30,Male,1,0,1,Low
DC01497,2022-09-13,Kolkata,Rural/Outskirts,Cannabis,Possession,4.36,38,Male,1,0,1,Low
DC04784,2022-09-13,Delhi,Industrial Area,Cannabis,Possession,10.32,42,Male,2,1,0,Low
DC00278,2022-09-13,Kolkata,Industrial Area,Cannabis,Possession,3.89,28,Male,1,0,0,Low
DC01860,2022-09-14,Pune,Commercial Zone,Cocaine,Distribution,88.82,27,Male,1,0,0,Medium
DC03176,2022-09-14,Mumbai,Industrial Area,Prescription Drugs,Possession,12.85,30,Male,1,0,1,Low
DC04902,2022-09-14,Bengaluru,Urban Residential,Cannabis,Possession,20.55,38,Male,2,1,1,Low
DC03477,2022-09-14,Lucknow,Commercial Zone,Cannabis,Public Consumption,2.06,40,Male,0,0,0,Low
DC03295,2022-09-14,Lucknow,Urban Residential,Other Synthetic,Public Consumption,10.65,22,Male,1,0,0,Low
DC04995,2022-09-14,Chennai,Nightlife District,Cannabis,Trafficking,70.86,28,Male,1,0,0,Medium
DC02969,2022-09-14,Lucknow,Commercial Zone,Cannabis,Possession,85.49,22,Male,0,0,1,Low
DC03319,2022-09-14,Ahmedabad,Industrial Area,Heroin,Possession,12.45,30,Male,0,0,1,Low
DC00867,2022-09-15,Mumbai,Urban Residential,Cannabis,Public Consumption,49.34,16,Male,0,0,1,Low
DC00151,2022-09-15,Jaipur,Nightlife District,Methamphetamine,Possession,16.53,22,Male,0,0,1,Low
DC04471,2022-09-15,Jaipur,Commercial Zone,MDMA,Possession,1.92,32,Male,0,0,1,Low
DC03792,2022-09-15,Chennai,Commercial Zone,Cannabis,Distribution,117.55,20,Male,0,0,1,Medium
DC00530,2022-09-15,Ahmedabad,Rural/Outskirts,Cannabis,Possession,63.39,18,Male,1,0,1,Low
DC04252,2022-09-16,Chennai,Educational Zone,Cocaine,Possession,31.64,35,Female,3,1,1,Medium
DC01040,2022-09-16,Delhi,Nightlife District,Methamphetamine,Public Consumption,9.42,18,Male,0,0,1,Low
DC01590,2022-09-16,Pune,Nightlife District,Cocaine,Public Consumption,4.84,54,Male,0,0,0,Low
DC00899,2022-09-16,Chennai,Nightlife District,Cannabis,Possession,49.06,31,Male,0,0,1,Low
DC03858,2022-09-16,Hyderabad,Urban Residential,Cannabis,Distribution,98.82,23,Male,1,0,0,Medium
DC00739,2022-09-16,Bengaluru,Nightlife District,Cannabis,Possession,132.48,20,Male,3,1,1,Medium
DC00688,2022-09-16,Delhi,Urban Residential,Methamphetamine,Possession,8.35,28,Male,2,1,1,Low
DC01137,2022-09-17,Ahmedabad,Urban Residential,Cannabis,Public Consumption,13.22,42,Male,3,1,1,Medium
DC03799,2022-09-17,Mumbai,Nightlife District,Heroin,Public Consumption,17.01,21,Female,2,1,1,Low
DC03998,2022-09-17,Delhi,Industrial Area,Other Synthetic,Possession,15.47,15,Female,1,0,1,Low
DC01475,2022-09-18,Delhi,Urban Residential,Other Synthetic,Public Consumption,1.33,45,Male,3,1,1,Low
DC01765,2022-09-18,Mumbai,Nightlife District,MDMA,Possession,10.97,19,Male,2,1,0,Low
DC00706,2022-09-19,Lucknow,Urban Residential,Heroin,Distribution,73.65,22,Male,0,0,0,Medium
DC00472,2022-09-19,Lucknow,Urban Residential,Cannabis,Possession,18.31,18,Male,0,0,1,Low
DC02156,2022-09-19,Mumbai,Urban Residential,Heroin,Possession,0.5,25,Male,1,0,1,Low
DC03668,2022-09-21,Mumbai,Commercial Zone,MDMA,Distribution,9.4,25,Male,1,0,1,Low
DC00928,2022-09-21,Hyderabad,Nightlife District,Methamphetamine,Possession,4.68,32,Male,1,0,0,Low
DC02822,2022-09-21,Mumbai,Urban Residential,Prescription Drugs,Distribution,59.69,19,Female,1,0,1,Medium
DC02629,2022-09-22,Bengaluru,Urban Residential,Prescription Drugs,Trafficking,54.12,24,Male,2,1,1,High
DC04480,2022-09-22,Hyderabad,Commercial Zone,Cannabis,Distribution,21.03,44,Female,1,0,0,Medium
DC00117,2022-09-23,Ahmedabad,Commercial Zone,Cannabis,Public Consumption,0.5,35,Male,2,1,0,Low
DC04210,2022-09-23,Chennai,Urban Residential,Methamphetamine,Distribution,36.84,26,Female,3,1,1,Medium
DC04584,2022-09-23,Pune,Urban Residential,Cannabis,Possession,1.12,52,Male,2,1,1,Low
DC04487,2022-09-23,Chennai,Commercial Zone,Cannabis,Possession,26.51,14,Male,3,1,1,Low
DC03815,2022-09-23,Delhi,Industrial Area,Cocaine,Distribution,8.41,36,Male,0,0,1,Low
DC01427,2022-09-24,Chennai,Commercial Zone,Heroin,Possession,11.14,20,Male,1,0,1,Low
DC02135,2022-09-24,Pune,Urban Residential,Cannabis,Distribution,66.9,32,Male,3,1,1,Medium
DC04043,2022-09-24,Bengaluru,Industrial Area,Cannabis,Possession,20.01,37,Male,1,0,0,Low
DC04598,2022-09-25,Mumbai,Nightlife District,Other Synthetic,Possession,14.7,30,Male,1,0,0,Low
DC02360,2022-09-25,Mumbai,Nightlife District,Cannabis,Possession,93.6,16,Male,0,0,1,Low
DC03758,2022-09-25,Delhi,Commercial Zone,MDMA,Distribution,2.35,23,Female,1,0,1,Low
DC02941,2022-09-25,Delhi,Urban Residential,Prescription Drugs,Possession,21.68,29,Male,3,1,0,Low
DC03315,2022-09-25,Mumbai,Commercial Zone,Cannabis,Distribution,23.73,25,Female,0,0,1,Low
DC04271,2022-09-26,Kolkata,Nightlife District,Cannabis,Distribution,146.05,32,Male,4,1,1,High
DC01281,2022-09-26,Kolkata,Urban Residential,Cocaine,Possession,23.27,35,Male,1,0,1,Low
DC02724,2022-09-27,Bengaluru,Industrial Area,Cocaine,Possession,71.67,33,Male,0,0,1,Low
DC02978,2022-09-27,Chennai,Industrial Area,Cannabis,Public Consumption,11.65,27,Male,1,0,0,Low
DC01110,2022-09-27,Mumbai,Urban Residential,Heroin,Possession,6.11,34,Female,0,0,0,Low
DC02272,2022-09-27,Delhi,Rural/Outskirts,MDMA,Possession,6.65,31,Male,3,1,0,Low
DC02377,2022-09-28,Delhi,Nightlife District,Prescription Drugs,Public Consumption,0.5,29,Male,0,0,0,Low
DC00566,2022-09-28,Hyderabad,Commercial Zone,Cocaine,Possession,4.65,25,Male,2,1,0,Low
DC01651,2022-09-28,Chennai,Commercial Zone,Prescription Drugs,Possession,19.83,34,Male,1,0,1,Low
DC04607,2022-09-28,Ahmedabad,Urban Residential,Methamphetamine,Possession,9.8,38,Male,2,1,1,Low
DC02898,2022-09-28,Delhi,Industrial Area,Cannabis,Public Consumption,26.2,34,Male,1,0,1,Low
DC03183,2022-09-28,Delhi,Commercial Zone,Cannabis,Possession,20.41,26,Male,1,0,0,Low
DC00894,2022-09-28,Delhi,Industrial Area,Other Synthetic,Public Consumption,7.35,19,Male,2,1,1,Low
DC04075,2022-09-28,Kolkata,Commercial Zone,Cannabis,Distribution,79.06,14,Male,2,1,0,Medium
DC02871,2022-09-29,Jaipur,Industrial Area,Cannabis,Possession,4.16,15,Male,1,0,0,Low
DC01611,2022-09-30,Jaipur,Urban Residential,Cannabis,Possession,9.77,22,Male,0,0,1,Low
DC04294,2022-09-30,Jaipur,Nightlife District,Cannabis,Possession,8.04,26,Male,1,0,1,Low
DC01899,2022-09-30,Delhi,Commercial Zone,Heroin,Public Consumption,2.82,24,Male,1,0,1,Low
DC04656,2022-09-30,Mumbai,Urban Residential,Cocaine,Public Consumption,7.53,26,Female,1,0,0,Low
DC03711,2022-09-30,Chennai,Educational Zone,Cocaine,Possession,14.14,22,Male,0,0,0,Low
DC03223,2022-10-01,Chennai,Educational Zone,Cannabis,Possession,16.53,30,Female,2,1,1,Low
DC01742,2022-10-01,Pune,Industrial Area,Cannabis,Distribution,100.49,26,Male,3,1,1,High
DC02285,2022-10-02,Mumbai,Industrial Area,Prescription Drugs,Possession,2.34,28,Female,2,1,1,Low
DC02674,2022-10-02,Mumbai,Commercial Zone,Methamphetamine,Public Consumption,6.51,31,Male,1,0,1,Low
DC00518,2022-10-02,Ahmedabad,Industrial Area,Cannabis,Public Consumption,8.71,25,Female,3,1,0,Medium
DC03651,2022-10-02,Pune,Urban Residential,Cannabis,Distribution,134.53,17,Male,0,0,1,Medium
DC01048,2022-10-03,Chennai,Nightlife District,Cannabis,Possession,32.34,41,Female,2,1,0,Low
DC04299,2022-10-03,Bengaluru,Nightlife District,Prescription Drugs,Possession,29.74,32,Male,2,1,1,Low
DC02577,2022-10-04,Lucknow,Commercial Zone,Cannabis,Possession,21.47,31,Male,0,0,0,Low
DC03525,2022-10-04,Mumbai,Urban Residential,Prescription Drugs,Possession,28.56,29,Male,1,0,0,Low
DC00495,2022-10-04,Bengaluru,Commercial Zone,Cannabis,Possession,30.39,27,Female,2,1,1,Low
DC00684,2022-10-04,Kolkata,Nightlife District,Cocaine,Possession,3.67,32,Male,2,1,0,Low
DC04443,2022-10-05,Mumbai,Nightlife District,Cannabis,Distribution,17.25,34,Male,2,1,1,Medium
